time	V(out)	I(Bat)
1.547826241346893e-006	2.827280e+001	-5.616518e-004
1.548148545680137e-006	2.827280e+001	-5.616384e-004
1.548583286902100e-006	2.827280e+001	-5.616205e-004
1.549066116114214e-006	2.827280e+001	-5.616005e-004
1.549422085880263e-006	2.827280e+001	-5.615858e-004
1.549707698599556e-006	2.827280e+001	-5.615740e-004
1.550007065715974e-006	2.827280e+001	-5.615616e-004
1.550387347512666e-006	2.827280e+001	-5.615460e-004
1.550830189254113e-006	2.827280e+001	-5.615277e-004
1.551330096345401e-006	2.827280e+001	-5.615071e-004
1.551602625542841e-006	2.827280e+001	-5.614958e-004
1.551927416285960e-006	2.827280e+001	-5.614824e-004
1.552248284433118e-006	2.827280e+001	-5.614692e-004
1.552685014148272e-006	2.827280e+001	-5.614511e-004
1.553165780459008e-006	2.827280e+001	-5.614312e-004
1.553519327149246e-006	2.827280e+001	-5.614166e-004
1.553803815211770e-006	2.827280e+001	-5.614049e-004
1.554101619156774e-006	2.827280e+001	-5.613926e-004
1.554481481431413e-006	2.827280e+001	-5.613770e-004
1.554922932569762e-006	2.827280e+001	-5.613588e-004
1.555427428981816e-006	2.827280e+001	-5.613380e-004
1.555700158379866e-006	2.827280e+001	-5.613267e-004
1.556028795393625e-006	2.827280e+001	-5.613132e-004
1.556348307801838e-006	2.827280e+001	-5.613000e-004
1.556786965077240e-006	2.827280e+001	-5.612819e-004
1.557265774606154e-006	2.827280e+001	-5.612621e-004
1.557616921809603e-006	2.827280e+001	-5.612476e-004
1.557900323886843e-006	2.827280e+001	-5.612360e-004
1.558196597885362e-006	2.827280e+001	-5.612238e-004
1.558576065564111e-006	2.827280e+001	-5.612082e-004
1.559016167873754e-006	2.827280e+001	-5.611901e-004
1.559525096276879e-006	2.827280e+001	-5.611691e-004
1.559798063576224e-006	2.827280e+001	-5.611579e-004
1.560130410756161e-006	2.827280e+001	-5.611441e-004
1.560448667081665e-006	2.827280e+001	-5.611310e-004
1.560889169768963e-006	2.827280e+001	-5.611128e-004
1.561366155704011e-006	2.827280e+001	-5.610932e-004
1.561714918069290e-006	2.827280e+001	-5.610788e-004
1.561997279978260e-006	2.827280e+001	-5.610672e-004
1.562292071725404e-006	2.827280e+001	-5.610551e-004
1.562671177821380e-006	2.827280e+001	-5.610395e-004
1.563109986109396e-006	2.827280e+001	-5.610214e-004
1.563623106982050e-006	2.827280e+001	-5.610003e-004
1.563896448189566e-006	2.827280e+001	-5.609891e-004
1.564232263199415e-006	2.827280e+001	-5.609753e-004
1.564549422599558e-006	2.827280e+001	-5.609622e-004
1.564991611113897e-006	2.827280e+001	-5.609440e-004
1.565466989280721e-006	2.827280e+001	-5.609244e-004
1.565813392208128e-006	2.827280e+001	-5.609101e-004
1.566094781543129e-006	2.827280e+001	-5.608986e-004
1.566388176669576e-006	2.827280e+001	-5.608865e-004
1.566766970062568e-006	2.827280e+001	-5.608709e-004
1.567204572776380e-006	2.827280e+001	-5.608530e-004
1.567721456683195e-006	2.827280e+001	-5.608317e-004
1.567995098074307e-006	2.827280e+001	-5.608205e-004
1.568334243966817e-006	2.827280e+001	-5.608065e-004
